country,datadate,ew_return,vw_return,period
JPN,2020-12-31,-0.0181350054465687,0.0295084127218661,Crisis
JPN,2021-01-31,-0.0252761881332743,0.0136891991313618,Crisis
JPN,2021-02-28,-0.005526044060758,0.0414816407544134,Crisis
JPN,2021-03-31,0.0187230727094829,0.0486167677475654,Crisis
JPN,2021-04-30,-0.0637845511917275,-0.0286012878463436,Crisis
JPN,2021-05-31,-0.0379544083705462,0.0214738111008041,Crisis
JPN,2021-06-30,-0.0135442623761606,0.0199612560618532,Crisis
JPN,2021-07-31,-0.0583723821179338,-0.0205342400160733,Crisis
JPN,2021-08-31,-0.0255070276051576,0.0297288964951316,Crisis
JPN,2021-09-30,-0.020332043895886,0.038810239408031,Crisis
JPN,2021-10-31,-0.0623413665512543,-0.0201738267176353,Crisis
JPN,2021-11-30,-0.0978480462205965,-0.0363200130354136,Crisis
JPN,2021-12-31,-0.025743020863532,0.0320354530553773,Crisis
JPN,2022-01-31,-0.1077812317988,-0.0474585437795346,Recovery
JPN,2022-02-28,-0.0353836299203191,-0.0003012886228021,Recovery
JPN,2022-03-31,-0.0156703295756816,0.0261976849213828,Recovery
JPN,2022-04-30,-0.0737267703074302,-0.0178376668233051,Recovery
JPN,2022-05-31,-0.039627075796,0.0061992785944201,Recovery
JPN,2022-06-30,-0.0494573863618374,-0.0162577811505596,Recovery
JPN,2022-07-31,-0.0165595966269289,0.0362713195038087,Recovery
JPN,2022-08-31,-0.028267549004114,0.0086831664637087,Recovery
JPN,2022-09-30,-0.092569862721509,-0.065618713740413,Recovery
JPN,2022-10-31,-0.0280020472965062,0.0412190119129964,Recovery
JPN,2022-11-30,-0.0217635982147813,0.0205807641892187,Recovery
JPN,2022-12-31,-0.083336014992213,-0.053209070240844,Recovery
JPN,2023-01-31,-0.0150156086268218,0.0307599485436686,Recovery
JPN,2023-02-28,-0.0298248520506182,0.0033175111871654,Recovery
JPN,2023-03-31,-0.0472150764793274,-0.0079254206368857,Recovery
JPN,2023-04-30,-0.0432957857031693,-0.0154651893923824,Recovery
JPN,2023-05-31,-0.056092103859086,0.0196831906326957,Recovery
JPN,2023-06-30,0.0016406566186699,0.0679083131291713,Recovery
JPN,2023-07-31,-0.048948424916078,0.0138360636830779,Recovery
JPN,2023-08-31,-0.0458175036955438,0.0041298175190588,Recovery
JPN,2023-09-30,-0.0513342754522967,-0.0182765756052364,Recovery
JPN,2023-10-31,-0.1033790284834248,-0.0462445021794676,Recovery
JPN,2023-11-30,-0.0168673775817677,0.0454802041715523,Recovery
JPN,2023-12-31,-0.0566023412451625,-0.0191624177243449,Recovery
JPN,2024-01-31,-0.01576499778657,0.0484382813397225,Recovery
JPN,2024-02-29,-0.0366210671055865,0.0354837701584023,Recovery
JPN,2024-03-31,-0.0312741167240205,0.0497270714123358,Recovery
JPN,2024-04-30,-0.09156849110096,-0.0553603751140105,Recovery
JPN,2024-05-31,-0.06042468513082,0.0038981733137147,Recovery
JPN,2024-06-30,-0.0267444770740573,0.0092635694480624,Recovery
JPN,2024-07-31,-0.0663933915836803,-0.0142514787443021,Recovery
JPN,2024-08-31,-0.0853430229093294,-0.0353793161784386,Recovery
JPN,2024-09-30,-0.0758434426107828,-0.0265355075529226,Recovery
JPN,2024-10-31,-0.078924129504225,-0.0105014869853965,Recovery
JPN,2024-11-30,-0.0556436698934505,-0.0051622666617189,Recovery
JPN,2024-12-31,-0.0469622909220468,0.0182550715606534,Recovery
LBR,2023-01-31,0.0,0.0,Recovery
LBR,2023-02-28,0.1111111111111111,0.1111111111111111,Recovery
LBR,2023-03-31,-0.075,-0.075,Recovery
LBR,2023-04-30,0.0270270270270269,0.0270270270270269,Recovery
LBR,2023-05-31,-0.0263157894736841,-0.0263157894736841,Recovery
LBR,2023-06-30,0.0,0.0,Recovery
LBR,2023-07-31,-0.054054054054054,-0.054054054054054,Recovery
LBR,2023-08-31,0.0,0.0,Recovery
LBR,2023-09-30,0.0,0.0,Recovery
LBR,2023-10-31,-0.1257142857142856,-0.1257142857142856,Recovery
LBR,2023-11-30,-0.0522875816993464,-0.0522875816993464,Recovery
LBR,2023-12-31,0.0,0.0,Recovery
LBR,2024-01-31,0.0,0.0,Recovery
LBR,2024-02-29,0.0,0.0,Recovery
LBR,2024-03-31,-0.3448275862068964,-0.3448275862068964,Recovery
LBR,2024-04-30,-0.7305263157894737,-0.7305263157894737,Recovery
LBR,2024-05-31,-0.0625,-0.0625,Recovery
LBR,2024-06-30,-0.0999999999999999,-0.0999999999999999,Recovery
LBR,2024-07-31,0.0,0.0,Recovery
LBR,2024-08-31,0.0,0.0,Recovery
LBR,2024-09-30,-0.0277777777777777,-0.0277777777777777,Recovery
LBR,2024-10-31,-0.019047619047619,-0.019047619047619,Recovery
LBR,2024-11-30,-0.2912621359223301,-0.2912621359223301,Recovery
LBR,2024-12-31,-0.136986301369863,-0.136986301369863,Recovery
SAU,2020-04-30,0.1328710491243679,0.1480781514135497,Crisis
SAU,2020-05-31,-0.003278096271852,-0.0336012876636054,Crisis
SAU,2020-06-30,-0.001464663790474,-0.0013228537663092,Crisis
SAU,2020-07-31,0.1093160452757622,0.0555664867254684,Crisis
SAU,2020-08-31,0.1002719464684315,0.0965765945666862,Crisis
SAU,2020-09-30,0.1100678503556066,0.0337745742767502,Crisis
SAU,2020-10-31,-0.121818151082357,-0.1091475518025587,Crisis
SAU,2020-11-30,0.2219876362096739,0.099626812782491,Crisis
SAU,2020-12-31,0.0167805811666232,0.0201384632993587,Crisis
SAU,2021-01-31,0.0107087096562185,-0.0058453321980392,Crisis
SAU,2021-02-28,0.0459443311827129,0.0095778277085229,Crisis
SAU,2021-03-31,0.0616272831190309,0.0568081319048176,Crisis
SAU,2021-04-30,0.0248235539095044,0.0034550984414079,Crisis
SAU,2021-05-31,0.0548795692333487,0.0011610097735274,Crisis
